year,sitename,violence score
2017,"Borough of Brooklyn, NY (NYH)",39.536080982792356
2017,"Borough of Manhattan, NY (NYI)",30.748670480669183
2017,"Borough of Queens, NY (NYJ)",35.53758728902208
2017,"Borough of Staten Island, NY (NYK)",33.069231638766425
2017,"Broward County, FL (FT)",23.823324831903545
2017,"Chicago, IL (CH)",31.39792328644262
2017,"Los Angeles, CA (LO)",23.666300413803977
2017,"Miami-Dade County, FL (MM)",27.195315945980468
2017,"New York City, NY (NYC)",36.63328614219174
2017,"Orange County, FL (OL)",30.939442242056476
2017,"Palm Beach County, FL (PB)",29.832109127263312
2017,"Philadelphia, PA (PH)",33.13376651382258
2017,"San Diego, CA (SA)",19.03023236493126
2017,"San Francisco, CA (SF)",24.23507006011976
2019,"Borough of Bronx, NY (NYG)",40.261673810060906
2019,"Borough of Brooklyn, NY (NYH)",35.3742017713884
2019,"Borough of Manhattan, NY (NYI)",29.489417738934176
2019,"Borough of Queens, NY (NYJ)",34.21176139296945
2019,"Borough of Staten Island, NY (NYK)",45.12001759708182
2019,"Broward County, FL (FT)",24.530492527105583
2019,"Chicago, IL (CH)",28.238983506398156
2019,"Los Angeles, CA (LO)",29.590434913628826
2019,"New York City, NY (NYC)",36.70567939342643
2019,"Orange County, FL (OL)",26.284755823360044
2019,"Palm Beach County, FL (PB)",30.624148305776842
2019,"Philadelphia, PA (PH)",32.475917158681696
2019,"San Diego, CA (SA)",16.612823074361533
2019,"San Francisco, CA (SF)",25.9507294905525
