year,sitename,sex,violence score
2009,"Miami-Dade County, FL (MM)",1.0,32.16939973986483
2009,"Miami-Dade County, FL (MM)",2.0,62.805645300865976
2009,"New York City, NY (NYC)",1.0,31.298140536469315
2009,"New York City, NY (NYC)",2.0,58.62428538427721
2009,"Orange County, FL (OL)",1.0,28.426744813169083
2009,"Orange County, FL (OL)",2.0,62.51311097126075
2009,"Palm Beach County, FL (PB)",1.0,27.41593973202215
2009,"Palm Beach County, FL (PB)",2.0,69.50517264485784
2009,"Philadelphia, PA (PH)",1.0,38.69930019565714
2009,"Philadelphia, PA (PH)",2.0,64.88805206310582
2009,"San Diego, CA (SA)",1.0,24.867734744162732
2009,"San Diego, CA (SA)",2.0,51.1145295595765
2009,"San Francisco, CA (SF)",1.0,20.540623871638633
2009,"San Francisco, CA (SF)",2.0,45.14768838276617
2011,"Borough of Bronx, NY (NYG)",1.0,29.66024612642965
2011,"Borough of Bronx, NY (NYG)",2.0,51.93437330045601
2011,"Borough of Brooklyn, NY (NYH)",1.0,37.203462583932364
2011,"Borough of Brooklyn, NY (NYH)",2.0,57.215540651123476
2011,"Borough of Manhattan, NY (NYI)",1.0,26.971485408564092
2011,"Borough of Manhattan, NY (NYI)",2.0,49.653666844205965
2011,"Borough of Queens, NY (NYJ)",1.0,15.696013704300213
2011,"Borough of Queens, NY (NYJ)",2.0,46.228397739417964
2011,"Borough of Staten Island, NY (NYK)",1.0,24.716445465992816
2011,"Borough of Staten Island, NY (NYK)",2.0,48.969537217201726
2011,"Broward County, FL (FT)",1.0,25.204590077381248
2011,"Broward County, FL (FT)",2.0,55.516388986276034
2011,"Chicago, IL (CH)",1.0,40.763497549484015
2011,"Chicago, IL (CH)",2.0,63.17719186448653
2011,"Los Angeles, CA (LO)",1.0,19.812142052286934
2011,"Los Angeles, CA (LO)",2.0,53.785500603302154
2011,"Miami-Dade County, FL (MM)",1.0,31.34691661666906
2011,"Miami-Dade County, FL (MM)",2.0,59.09132335884036
2011,"New York City, NY (NYC)",1.0,27.48070960999436
2011,"New York City, NY (NYC)",2.0,51.56997729403741
2011,"Orange County, FL (OL)",1.0,31.075575905434732
2011,"Orange County, FL (OL)",2.0,55.55933077139376
2011,"Palm Beach County, FL (PB)",1.0,29.77512856424349
2011,"Palm Beach County, FL (PB)",2.0,58.84183415932452
2011,"Philadelphia, PA (PH)",1.0,39.45476756435779
2011,"Philadelphia, PA (PH)",2.0,63.17977052689215
2011,"San Diego, CA (SA)",1.0,27.113417792759314
2011,"San Diego, CA (SA)",2.0,52.17742206678549
2011,"San Francisco, CA (SF)",1.0,17.35119752188644
2011,"San Francisco, CA (SF)",2.0,40.71984827388722
2013,"Borough of Bronx, NY (NYG)",1.0,33.333107865882944
2013,"Borough of Bronx, NY (NYG)",2.0,57.27588138732984
2013,"Borough of Brooklyn, NY (NYH)",1.0,27.887529267063808
2013,"Borough of Brooklyn, NY (NYH)",2.0,47.651943706042985
2013,"Borough of Manhattan, NY (NYI)",1.0,22.969442569055094
2013,"Borough of Manhattan, NY (NYI)",2.0,46.52331506842664
2013,"Borough of Queens, NY (NYJ)",1.0,26.17008596025362
2013,"Borough of Queens, NY (NYJ)",2.0,45.861079566453206
2013,"Borough of Staten Island, NY (NYK)",1.0,23.35565600808425
2013,"Borough of Staten Island, NY (NYK)",2.0,49.20612037496818
2013,"Broward County, FL (FT)",1.0,17.658236515943482
2013,"Broward County, FL (FT)",2.0,28.71052784413265
2013,"Chicago, IL (CH)",1.0,23.21232192344672
2013,"Chicago, IL (CH)",2.0,45.7826706101435
2013,"Los Angeles, CA (LO)",1.0,19.3362738121751
2013,"Los Angeles, CA (LO)",2.0,32.77359798049795
2013,"Miami-Dade County, FL (MM)",1.0,25.511010864491887
2013,"Miami-Dade County, FL (MM)",2.0,42.360778241892575
2013,"New York City, NY (NYC)",1.0,26.462273707131704
2013,"New York City, NY (NYC)",2.0,49.20827791244051
2013,"Orange County, FL (OL)",1.0,20.15139686611275
2013,"Orange County, FL (OL)",2.0,38.860717367883716
2013,"Palm Beach County, FL (PB)",1.0,24.306470708820193
2013,"Palm Beach County, FL (PB)",2.0,51.274988869254535
2013,"Philadelphia, PA (PH)",1.0,31.574369930612015
2013,"Philadelphia, PA (PH)",2.0,51.03494757991148
2013,"San Diego, CA (SA)",1.0,12.680447305997967
2013,"San Diego, CA (SA)",2.0,38.53553030460055
2013,"San Francisco, CA (SF)",1.0,18.39433865260738
2013,"San Francisco, CA (SF)",2.0,35.30161890863463
2015,"Borough of Bronx, NY (NYG)",1.0,19.558919293803136
2015,"Borough of Bronx, NY (NYG)",2.0,43.51414749285554
2015,"Borough of Brooklyn, NY (NYH)",1.0,24.58549516609021
2015,"Borough of Brooklyn, NY (NYH)",2.0,39.97937911648235
2015,"Borough of Manhattan, NY (NYI)",1.0,22.489552449682872
2015,"Borough of Manhattan, NY (NYI)",2.0,45.936348694287794
2015,"Borough of Queens, NY (NYJ)",1.0,22.400965431754955
2015,"Borough of Queens, NY (NYJ)",2.0,37.565488363034376
2015,"Borough of Staten Island, NY (NYK)",1.0,26.072443749715827
2015,"Borough of Staten Island, NY (NYK)",2.0,39.88237866999607
2015,"Broward County, FL (FT)",1.0,20.550489486278337
2015,"Broward County, FL (FT)",2.0,37.53407366865329
2015,"Los Angeles, CA (LO)",1.0,18.24455393834209
2015,"Los Angeles, CA (LO)",2.0,32.66466763641635
2015,"Miami-Dade County, FL (MM)",1.0,20.146611515633957
2015,"Miami-Dade County, FL (MM)",2.0,46.23040062999749
2015,"New York City, NY (NYC)",1.0,22.961919983401643
2015,"New York City, NY (NYC)",2.0,41.18954549019916
2015,"Orange County, FL (OL)",1.0,18.151624881795325
2015,"Orange County, FL (OL)",2.0,48.720756530541856
2015,"Palm Beach County, FL (PB)",1.0,18.90177303673499
2015,"Palm Beach County, FL (PB)",2.0,46.29576997773672
2015,"Philadelphia, PA (PH)",1.0,32.40026138783419
2015,"Philadelphia, PA (PH)",2.0,55.050478676253
2015,"San Diego, CA (SA)",1.0,13.120713224326298
2015,"San Diego, CA (SA)",2.0,40.598341755926505
2015,"San Francisco, CA (SF)",1.0,16.88480180100292
2015,"San Francisco, CA (SF)",2.0,31.59163873449588
2017,"Borough of Bronx, NY (NYG)",1.0,31.71872195893625
2017,"Borough of Bronx, NY (NYG)",2.0,51.39063105799712
2017,"Borough of Brooklyn, NY (NYH)",1.0,25.653245207315347
2017,"Borough of Brooklyn, NY (NYH)",2.0,54.59097848519975
2017,"Borough of Manhattan, NY (NYI)",1.0,19.64451126360969
2017,"Borough of Manhattan, NY (NYI)",2.0,46.215246253911005
2017,"Borough of Queens, NY (NYJ)",1.0,20.26731928755553
2017,"Borough of Queens, NY (NYJ)",2.0,50.00549166052124
2017,"Borough of Staten Island, NY (NYK)",1.0,16.97579698457581
2017,"Borough of Staten Island, NY (NYK)",2.0,49.948789041889526
2017,"Broward County, FL (FT)",1.0,14.918888859925797
2017,"Broward County, FL (FT)",2.0,34.47575245430785
2017,"Chicago, IL (CH)",1.0,24.596817438570227
2017,"Chicago, IL (CH)",2.0,38.92800279321893
2017,"Los Angeles, CA (LO)",1.0,15.918217759577532
2017,"Los Angeles, CA (LO)",2.0,31.522356953391437
2017,"Miami-Dade County, FL (MM)",1.0,17.338117115490714
2017,"Miami-Dade County, FL (MM)",2.0,37.93123176383088
2017,"New York City, NY (NYC)",1.0,23.335826540045385
2017,"New York City, NY (NYC)",2.0,50.84207442807657
2017,"Orange County, FL (OL)",1.0,23.1468460793043
2017,"Orange County, FL (OL)",2.0,39.986984013934006
