,year,sitename,violence score,All Ages in Poverty Percent,Under Age 18 in Poverty Percent,Median Household Income in Dollars,Unemployment Rate,Population,SNAP($/Person)
45,2009,"Broward County, FL (FT)",50.349433115570726,13.0,16.3,"$48,772 ",9.1,1733310,126.7
46,2009,"Chicago, IL (CH)",55.81986642598,16.0,23.2,"$52,516 ",11.4,5181728,132.36
47,2009,"Los Angeles, CA (LO)",40.64204008974642,16.0,22.8,"$54,375 ",12.1,9787400,136.75
48,2009,"Miami-Dade County, FL (MM)",46.539502815817954,17.7,24.0,"$41,367 ",11.0,2463943,126.7
49,2009,"Orange County, FL (OL)",45.70399952597399,14.3,19.2,"$46,826 ",10.6,265267,126.7
50,2009,"Palm Beach County, FL (PB)",47.96951146894071,14.4,21.5,"$49,660 ",10.5,1307371,126.7
51,2009,"Philadelphia, PA (PH)",52.463036669270856,24.5,32.8,"$36,959 ",9.5,1514694,118.4
52,2009,"San Diego, CA (SA)",38.06451908468625,12.5,16.8,"$60,103 ",10.3,3061203,136.75
53,2009,"San Francisco, CA (SF)",34.013798502194554,11.7,14.1,"$70,247 ",9.3,801922,136.75
54,2011,"Borough of Bronx, NY (NYG)",41.54325205882923,30.3,40.9,"$32,137 ",12.1,"1,397,335",148.63
55,2011,"Borough of Brooklyn, NY (NYH)",48.40644052876343,23.6,33.8,"$42,437 ",9.6,"2,540,817",148.63
56,2011,"Borough of Manhattan, NY (NYI)",35.72274183520967,18.4,26.7,"$65,833 ",7.9,"1,608,293",148.63
57,2011,"Borough of Queens, NY (NYJ)",30.149846861518323,16.0,21.8,"$53,124 ",8.1,"2,255,482",148.63
58,2011,"Borough of Staten Island, NY (NYK)",35.654493993283545,12.5,18.5,"$69,436 ",9.1,"471,021",148.63
59,2011,"Broward County, FL (FT)",42.021201070681975,14.9,20.5,"$48,478 ",8.7,"1,786,980",139.55
60,2011,"Chicago, IL (CH)",52.13939685650982,17.8,26.6,"$50,806 ",9.8,"5,219,780",139.15
61,2011,"Los Angeles, CA (LO)",38.12384587466751,18.4,25.9,"$52,239 ",11.5,"9,876,482",147.06
62,2011,"Miami-Dade County, FL (MM)",43.720128183532715,20.9,28.9,"$40,476 ",7.7,"2,544,531",139.55
63,2011,"Orange County, FL (OL)",42.778575496198805,18.5,25.8,"$44,635 ",9.0,"1,170,579",139.55
64,2011,"Palm Beach County, FL (PB)",43.517867694499024,15.8,24.1,"$48,973 ",9.0,"1,336,760",139.55
65,2011,"Philadelphia, PA (PH)",51.014288579056306,27.9,38.7,"$34,433 ",10.1,"1,540,466",128.4
66,2011,"San Diego, CA (SA)",39.703311637974096,15.2,19.2,"$59,290 ",9.7,"3,137,156",147.06
67,2011,"San Francisco, CA (SF)",30.582833339278846,13.8,16.0,"$69,354 ",7.3,"815,650",147.06
68,2013,"Borough of Bronx, NY (NYG)",45.832957292607546,30.7,41.6,"$33,079 ",10.4,"1,421,928",147.75
69,2013,"Borough of Brooklyn, NY (NYH)",38.17902748551226,23.3,33.3,"$47,067 ",8.2,"2,587,684",147.75
70,2013,"Borough of Manhattan, NY (NYI)",32.939383405752686,19.0,26.6,"$71,443 ",6.4,"1,627,491",147.75
71,2013,"Borough of Queens, NY (NYJ)",35.77474948086004,15.4,21.6,"$56,307 ",6.6,"2,287,185",147.75
72,2013,"Borough of Staten Island, NY (NYK)",37.593339634669356,13.1,19.0,"$68,621 ",7.7,"471,803",147.75
73,2013,"Broward County, FL (FT)",23.48152162039433,15.2,19.5,"$50,343 ",6.2,"1,836,600",138.39
74,2013,"Chicago, IL (CH)",33.94523800739911,17.8,26.0,"$53,795 ",8.7,"5,252,875",137.99
75,2013,"Los Angeles, CA (LO)",26.610872851630536,19.0,27.4,"$54,443 ",8.6,"9,992,484",151.44
76,2013,"Miami-Dade County, FL (MM)",33.344021819464544,21.0,27.8,"$41,840 ",7.7,"2,609,692",138.39
77,2013,"Orange County, FL (OL)",29.94025809133342,18.2,26.0,"$46,675 ",6.2,"1,227,435",138.39
78,2013,"Palm Beach County, FL (PB)",37.57281817330671,15.0,22.7,"$51,768 ",6.4,"1,376,462",138.39
79,2013,"Philadelphia, PA (PH)",40.877651784854805,26.0,36.3,"$36,918 ",8.5,"1,558,313",128.32
80,2013,"San Diego, CA (SA)",26.618231411443734,15.3,19.4,"$61,365 ",6.9,"3,209,768",151.44
81,2013,"San Francisco, CA (SF)",27.544563521895707,13.8,14.4,"$76,933 ",4.6,"839,572",151.44
82,2015,"Borough of Bronx, NY (NYG)",31.540760430321697,30.3,42.6,"$35,102 ",6.9,"1,440,005",138.09
83,2015,"Borough of Brooklyn, NY (NYH)",31.570649725699145,22.3,31.5,"$51,026 ",5.1,"2,608,794",138.09
84,2015,"Borough of Manhattan, NY (NYI)",33.05052941881109,17.6,24.9,"$75,136 ",4.3,"1,636,063",138.09
85,2015,"Borough of Queens, NY (NYJ)",30.59805685117137,13.9,19.6,"$60,241 ",4.4,"2,305,838",138.09
86,2015,"Borough of Staten Island, NY (NYK)",36.09062108104271,14.2,18.3,"$71,058 ",5.0,"472,349",138.09
87,2015,"Broward County, FL (FT)",29.348026098810603,14.0,20.3,"$53,624 ",4.6,"1,885,040",129.66
88,2015,"Los Angeles, CA (LO)",25.4507009516136,16.7,23.5,"$59,045 ",5.5,"10,085,416",142.0
89,2015,"Miami-Dade County, FL (MM)",32.98325656203355,20.0,27.3,"$43,687 ",6.2,"2,659,839",129.66
90,2015,"Orange County, FL (OL)",31.563716481830422,15.6,22.6,"$50,593 ",4.5,"1,291,301",129.66
91,2015,"Palm Beach County, FL (PB)",34.23307666187397,13.5,20.8,"$56,638 ",4.7,"1,424,256",129.66
92,2015,"Philadelphia, PA (PH)",42.91263676867379,25.4,38.4,"$41,210 ",6.2,"1,571,065",123.16
93,2015,"San Diego, CA (SA)",27.714880372674322,13.9,17.8,"$67,053 ",4.7,"3,280,850",142.0
94,2015,"San Francisco, CA (SF)",24.406871301800955,12.4,13.5,"$90,527 ",3.2,"863,010",142.0
95,2017,"Borough of Bronx, NY (NYG)",42.83330944545575,27.9,39.3,"$37,377 ",5.6,"1,440,625",135.63
96,2017,"Borough of Brooklyn, NY (NYH)",40.31835333392741,19.8,26.7,"$56,548 ",4.1,"2,594,676",135.63
97,2017,"Borough of Manhattan, NY (NYI)",31.11569351637443,16.3,23.4,"$84,133 ",3.6,"1,630,698",135.63
98,2017,"Borough of Queens, NY (NYJ)",37.86742277730739,12.2,16.3,"$64,046 ",3.5,"2,295,808",135.63
